Lag,q,Moment,Observations,Table,Population
72,1.0,0.5499915799433601,5228355,equity_parkinson_variance,global
72,1.5,0.5096608552267908,5228355,equity_parkinson_variance,global
72,2.0,0.5247120598886591,5228355,equity_parkinson_variance,global
72,3.0,0.731620561456013,5228355,equity_parkinson_variance,global
72,4.0,1.4213623450091455,5228355,equity_parkinson_variance,global
73,1.0,0.5493753008627225,5033029,equity_parkinson_variance,global
73,1.5,0.5092511848365494,5033029,equity_parkinson_variance,global
73,2.0,0.5247892004361887,5033029,equity_parkinson_variance,global
73,3.0,0.7342107968864979,5033029,equity_parkinson_variance,global
73,4.0,1.4327288337931439,5033029,equity_parkinson_variance,global
74,1.0,0.5485322818301462,5042033,equity_parkinson_variance,global
74,1.5,0.5084151106278015,5042033,equity_parkinson_variance,global
74,2.0,0.5240284250869051,5042033,equity_parkinson_variance,global
74,3.0,0.7340225983596858,5042033,equity_parkinson_variance,global
74,4.0,1.4358182864457936,5042033,equity_parkinson_variance,global
75,1.0,0.5500934267052899,5234371,equity_parkinson_variance,global
75,1.5,0.509873042881562,5234371,equity_parkinson_variance,global
75,2.0,0.5249878191671958,5234371,equity_parkinson_variance,global
75,3.0,0.7314329028736707,5234371,equity_parkinson_variance,global
75,4.0,1.4182793376015839,5234371,equity_parkinson_variance,global
76,1.0,0.5510642788054967,7017444,equity_parkinson_variance,global
76,1.5,0.5113870049356875,7017444,equity_parkinson_variance,global
76,2.0,0.5272928744364661,7017444,equity_parkinson_variance,global
76,3.0,0.7369272174447542,7017444,equity_parkinson_variance,global
76,4.0,1.4318535420631349,7017444,equity_parkinson_variance,global
77,1.0,0.5506314321349254,8641453,equity_parkinson_variance,global
77,1.5,0.5106638301689249,8641453,equity_parkinson_variance,global
77,2.0,0.52618830552001,8641453,equity_parkinson_variance,global
77,3.0,0.7346574409902148,8641453,equity_parkinson_variance,global
77,4.0,1.4272762029681596,8641453,equity_parkinson_variance,global
78,1.0,0.5522788538795947,7010007,equity_parkinson_variance,global
78,1.5,0.5126866264916624,7010007,equity_parkinson_variance,global
78,2.0,0.5285555184435353,7010007,equity_parkinson_variance,global
78,3.0,0.7373948825213836,7010007,equity_parkinson_variance,global
78,4.0,1.4263642871901796,7010007,equity_parkinson_variance,global
79,1.0,0.5519121349997074,5221385,equity_parkinson_variance,global
79,1.5,0.5121729464316888,5221385,equity_parkinson_variance,global
79,2.0,0.5280194362557901,5221385,equity_parkinson_variance,global
79,3.0,0.738257845386278,5221385,equity_parkinson_variance,global
79,4.0,1.4375450356882875,5221385,equity_parkinson_variance,global
80,1.0,0.5511134527258836,5053229,equity_parkinson_variance,global
80,1.5,0.5117586873157431,5053229,equity_parkinson_variance,global
80,2.0,0.528369086948847,5053229,equity_parkinson_variance,global
80,3.0,0.7422817922900549,5053229,equity_parkinson_variance,global
